sales_data_id,sale_date,profit_amount,event,weather,Temperature,sales_amount_lag_1,sales_amount_lag_7,sales_amount_lag_30,sales_amount_ma_30,sales_amount_std_30,sales_amount_ma_60,sales_amount_std_60,month_sin,month_cos,day_of_week_sin,day_of_week_cos
513,,2145.0,Normal_Day,Partly_Cloudy,38.0,9648.0,8332.0,10612.536,10275.161,2208.885,9606.553,2236.3196,,,,
885,,,Holiday,Mostly_Sunny,29.0,10612.536,10612.536,8622.0,8823.979,1823.5771,8621.302,1922.8083,,,,
575,,5697.0,Normal_Day,Mostly_Sunny,35.0,34709.0,16968.0,10612.536,15586.636,7850.2954,13179.915,6229.905,,,,
39,,2213.0,Normal_Day,Mostly_Sunny,29.0,10612.536,8155.0,10612.536,8752.005,2766.1697,,,,,,
285,,1350.0,Normal_Day,Partly_Cloudy,33.0,12534.0,2756.0,12423.0,9160.808,2451.0198,9621.325,2242.8643,,,,
521,,,Normal_Day,Mostly_Sunny,36.0,10612.536,6014.0,10765.0,9653.212,2462.5208,9440.159,2294.4534,,,,
190,,5408.0,Holiday,Mostly_Sunny,37.0,30331.0,17992.0,7257.0,15852.404,7435.875,13305.548,6101.8,,,,
885,,,Holiday,Mostly_Sunny,29.0,10612.536,10612.536,8622.0,8823.979,1823.5771,8621.302,1922.8083,,,,
308,,1145.0,Normal_Day,Scattered_Shower,34.0,8923.0,18119.0,2756.0,9441.822,2859.3867,9401.715,2614.5496,,,,
671,,,Holiday,Mostly_Sunny,35.0,10612.536,10612.536,8377.0,8696.127,2329.8296,8851.834,2116.1042,,,,
603,,2453.0,Normal_Day,Mostly_Sunny,33.0,9956.0,10755.0,25996.0,15225.474,11260.107,14609.78,9036.873,,,,
217,,1525.0,Normal_Day,Partly_Cloudy,32.0,8525.0,5911.0,12515.0,16094.6045,11208.131,14868.922,8805.658,,,,
137,,,Normal_Day,Mostly_Sunny,36.0,11684.0,8997.0,10612.536,9968.789,1997.4867,9869.765,2148.1409,,,,
494,,1813.0,Normal_Day,Mostly_Sunny,36.0,5993.0,8813.0,7642.0,9091.423,2186.283,9777.734,2590.758,,,,
581,,3242.0,Holiday,Partly_Cloudy,35.0,10612.536,34709.0,5014.0,19083.504,10778.8545,14830.265,8852.58,,,,
645,,2250.0,Normal_Day,Partly_Cloudy,34.0,10612.536,9325.0,10612.536,9276.691,1892.027,10264.734,3128.5874,,,,
549,,1753.0,Normal_Day,Mostly_Sunny,39.0,6747.0,13348.0,4467.0,10764.928,2173.412,10211.61,2370.4705,,,,
139,,1799.0,Normal_Day,Mostly_Sunny,36.0,12619.0,10287.0,13095.0,9877.356,1966.8649,9977.206,2061.3018,,,,
