sales_data_id,sale_date,sales_amount,profit_amount,Temperature,day_of_year,Date,Month,Year,is_closed,event_Normal Day,weather_Mostly Sunny,weather_Partly Cloudy,weather_Scattered Shower
229,2023-06-21,9411.0,1860.0,36.0,172,21,6,2023,0,True,True,False,False
230,2023-06-22,8138.0,1607.0,37.0,173,22,6,2023,0,True,True,False,False
231,2023-06-23,7315.0,1492.0,38.0,174,23,6,2023,0,True,True,False,False
232,2023-06-24,10612.535779816513,2074.0550458715597,36.0,175,24,6,2023,0,False,True,False,False
233,2023-06-25,10612.535779816513,2074.0550458715597,35.0,176,25,6,2023,0,False,True,False,False
234,2023-06-26,10040.0,1949.0,34.0,177,26,6,2023,0,True,True,False,False
235,2023-06-27,8697.0,1732.0,36.0,178,27,6,2023,0,True,True,False,False
236,2023-06-28,9052.0,1736.0,37.0,179,28,6,2023,0,True,True,False,False
237,2023-06-29,8186.0,1599.0,36.0,180,29,6,2023,0,True,True,False,False
238,2023-06-30,7238.0,1563.0,36.0,181,30,6,2023,0,True,True,False,False
239,2023-07-01,7805.0,1677.0,35.0,182,1,7,2023,0,False,True,False,False
240,2023-07-02,10612.535779816513,2074.0550458715597,35.0,183,2,7,2023,0,False,False,True,False
241,2023-07-03,9136.0,1809.0,34.0,184,3,7,2023,0,True,True,False,False
242,2023-07-04,12823.0,2509.0,33.0,185,4,7,2023,0,True,True,False,False
243,2023-07-05,14601.0,2898.0,33.0,186,5,7,2023,0,True,True,False,False
244,2023-07-06,12057.0,2697.0,35.0,187,6,7,2023,0,True,True,False,False
245,2023-07-07,10202.0,1886.0,36.0,188,7,7,2023,0,True,True,False,False
246,2023-07-08,10612.535779816513,2074.0550458715597,35.0,189,8,7,2023,0,False,False,True,False
247,2023-07-09,10612.535779816513,2074.0550458715597,32.0,190,9,7,2023,0,False,False,True,False
248,2023-07-10,11744.0,2510.0,33.0,191,10,7,2023,0,True,False,True,False
249,2023-07-11,10234.0,2137.0,34.0,192,11,7,2023,0,True,True,False,False
250,2023-07-12,10230.0,2059.0,36.0,193,12,7,2023,0,True,True,False,False
251,2023-07-13,7617.0,1657.0,35.0,194,13,7,2023,0,True,True,False,False
252,2023-07-14,6818.0,1541.0,35.0,195,14,7,2023,0,True,True,False,False
253,2023-07-15,10612.535779816513,2074.0550458715597,34.0,196,15,7,2023,0,False,True,False,False
254,2023-07-16,10612.535779816513,2074.0550458715597,34.0,197,16,7,2023,0,False,False,True,False
255,2023-07-17,12423.0,2547.0,34.0,198,17,7,2023,0,True,True,False,False
256,2023-07-18,9423.0,1903.0,33.0,199,18,7,2023,0,True,True,False,False
257,2023-07-19,7869.0,1577.0,34.0,200,19,7,2023,0,True,False,False,False
