Date,Sales,Profit,Event,Day,Festival,Weather
2566/07/15,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/07/16,10562.0,2084.0,Holiday,Sunday,Normal Day,Partly Clooudy
2566/07/17,12423.0,2547.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/07/18,9423.0,1903.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/07/19,7869.0,1577.0,Normal Day,Wednesday,Normal Day,Mostly Cloudy
2566/07/20,9041.0,1885.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/07/21,7752.0,1755.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/07/22,10562.0,2084.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/07/23,10562.0,2084.0,Holiday,Sunday,Normal Day,Scattered Showe
2566/07/24,10822.0,2256.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/07/25,11398.0,2119.0,Normal Day,Tuesday,Normal Day,Partly Clooudy
2566/07/26,6689.0,1351.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/07/27,5988.0,1257.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/07/28,10085.0,2105.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/07/29,5163.0,1109.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/07/30,10562.0,2084.0,Holiday,Sunday,Normal Day,Partly Clooudy
2566/07/31,8648.0,1765.0,Normal Day,Monday,Normal Day,Mostly Cloudy
2566/08/01,13319.0,2719.0,Holiday,Tuesday,Buddhist Lent,Mostly Sunny
2566/08/02,7924.0,1586.0,Normal Day,Wednesday,Normal Day,Mostly Cloudy
2566/08/03,12840.0,2724.0,Normal Day,Thursday,Normal Day,Scattered Showe
2566/08/04,10864.0,2017.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/08/05,12432.0,2417.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/08/06,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Cloudy
2566/08/07,7708.0,1566.0,Normal Day,Monday,Normal Day,Partly Clooudy
2566/08/08,9130.0,2073.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/08/09,2756.0,590.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/08/10,7778.0,1751.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/08/11,6642.0,1491.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/08/12,10562.0,2084.0,Holiday,Saturday,Mother's Day,Mostly Sunny
2566/08/13,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/08/14,7453.0,1739.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/08/15,12534.0,2539.0,Holiday,Tuesday,Asalha Bucha,Mostly Sunny
2566/08/16,6891.0,1350.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2566/08/17,9578.0,2143.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/08/18,9225.0,1856.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/08/19,4325.0,570.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/08/20,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/08/21,12304.0,2472.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/08/22,10985.0,2334.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/08/23,9561.0,1865.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/08/24,10177.0,2194.0,Normal Day,Thursday,Normal Day,Partly Clooudy
2566/08/25,11774.0,2427.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/08/26,5057.0,1096.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/08/27,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/08/28,7473.0,1693.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/08/29,6694.0,1672.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/08/30,5823.0,1191.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/08/31,11642.0,2056.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/09/01,18119.0,1735.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/09/02,7860.0,1705.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/09/03,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/09/04,13137.0,2235.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/09/05,11100.0,2361.0,Normal Day,Tuesday,Normal Day,Partly Clooudy
2566/09/06,9403.0,1845.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/09/07,8923.0,1714.0,Normal Day,Thursday,Normal Day,Partly Clooudy
2566/09/08,5734.0,1145.0,Normal Day,Friday,Normal Day,Scattered Showe
2566/09/09,4991.0,1045.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/09/10,10562.0,2084.0,Holiday,Sunday,Normal Day,Scattered Showe
2566/09/11,9921.0,1869.0,Normal Day,Monday,Normal Day,Partly Clooudy
2566/09/12,10402.0,2090.0,Normal Day,Tuesday,Normal Day,Mostly Cloudy
2566/09/13,7351.0,1456.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/09/14,6488.0,1415.0,Normal Day,Thursday,Normal Day,Partly Clooudy
2566/09/15,3673.0,786.0,Holiday,Friday,Chinese Ghost Festival,Mostly Sunny
2566/09/16,9902.0,2113.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/09/17,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/09/18,7700.0,1713.0,Normal Day,Monday,Normal Day,Scattered Showe
2566/09/19,8178.0,1653.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/09/20,7819.0,1594.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/09/21,4798.0,984.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/09/22,6485.0,1404.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/09/23,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/09/24,10562.0,2084.0,Holiday,Sunday,Normal Day,Partly Clooudy
